MachineID,Model Revision,Lot Number,Sub Lot Number,Index,Lane,Panel Barcode,Date,Panel Result,ModuleID,Module Name,Grouping Module Barcode,Module Barcode,Module Result,Location Name,Component Code,Sub Code,Comp. Barcode,Comp.Result,Rep.Defect,SizeX,SizeY,OffsetX,OffsetY,M.OffsetX,M.OffsetY,T.OffsetX,T.OffsetY,Rotation,BodyLift,BodyLiftAngle,Height,Height(%),Area,Area(%),Volume,Volume(%),Coplanarity,TopGray,BridgeComponents,IPC,User Module 1,User Module 2,Lift ROI,Lift Min,Lift Max,B.OffsetX,B.OffsetY,B.Length,B.Width,M.Interference Left,M.Interference Right,M.Interference Top,M.Interference Bottom,C.Interference Location,C.Interference Distance,Gap Height(Die to Ball),Measure Pos,Feature Distance
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1580,453564872471-0001,,,GOOD,,1163.780,645.139,34.030,-28.282,-28.282,-34.030,0,0,-1.439,7.229,0.164,655.420,94.988,772600.000,102.904,0,0,0,121,,,,,651.806|659.034,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1581,453564591331-0001,,,GOOD,,949.779,490.719,-79.971,-10.860,10.860,-79.971,0,0,-1.725,13.655,0.196,517.267,101.425,516500.000,110.819,0,0,0,102,,,,,524.095|510.440,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1582,453564873031-0001,,,GOOD,,949.779,490.719,-72.902,-25.410,25.410,-72.902,0,0,-2.541,4.016,0.196,485.139,99.008,436100.000,93.569,0,0,0,172,,,,,487.147|483.131,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1583,453564591331-0001,,,GOOD,,949.779,490.719,-47.234,38.180,47.234,-38.180,0,0,-1.468,20.884,1.894,515.259,101.031,507100.000,108.802,0,0,0,103,,,,,504.818|525.701,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1791,453564555621-0001,,,GOOD,,1073.390,577.979,0.942,-26.879,0.942,-26.879,0,0,0.406,12.048,0.588,642.569,100.401,767700.000,123.743,0,0,0,59,,,,,636.545|648.593,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1792,453564591331-0001,,,GOOD,,949.779,490.719,-62.228,43.703,62.228,-43.703,0,0,1.029,18.474,2.024,494.777,97.015,493300.000,105.841,0,0,0,27,,,,,485.541|504.014,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1793,453564555621-0001,,,GOOD,,1073.390,577.979,16.268,-2.640,-2.640,-16.268,0,0,0.259,4.819,0.392,659.838,103.100,687900.000,110.881,0,0,0,52,,,,,662.247|657.428,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1794,453564591331-0001,,,GOOD,,949.779,490.719,-14.528,14.697,14.697,14.528,0,0,1.296,4.016,0.196,496.384,97.330,519700.000,111.506,0,0,0,96,,,,,498.392|494.376,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1795,453564872481-0001,,,GOOD,,945.677,453.101,-10.706,-17.006,-10.706,-17.006,0,0,-0.532,10.442,1.159,495.581,103.246,520500.000,121.474,0,0,0,0,,,,,490.360|500.802,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1796,453564591331-0001,,,GOOD,,949.779,490.719,-38.622,-43.678,-38.622,-43.678,0,0,-1.005,32.129,3.002,491.163,96.307,519700.000,111.506,0,0,0,113,,,,,475.099|507.227,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1801,453564555621-0001,,,GOOD,,1073.390,577.979,20.482,24.122,-20.482,-24.122,0,0,0.990,10.442,0.980,663.452,103.664,725400.000,116.925,0,0,0,67,,,,,658.231|668.673,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1802,453564591331-0001,,,GOOD,,949.779,490.719,-31.949,-46.417,-31.949,-46.417,0,0,1.149,37.751,2.937,497.187,97.488,529700.000,113.651,0,0,0,85,,,,,478.312|516.063,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1803,453564555621-0001,,,GOOD,,1073.390,577.979,-34.469,12.631,-12.631,-34.469,0,0,0.872,10.442,0.849,648.191,101.280,735100.000,118.489,0,0,0,68,,,,,653.412|642.970,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,18,Front,4K-000N8,2023-11-03 18:27:29,NG,1,Board1,,,NG,C1804,453564591331-0001,,,GOOD,,949.779,490.719,-86.385,-7.924,7.924,-86.385,0,0,1.320,2.410,0.327,492.368,96.543,526400.000,112.943,0,0,0,112,,,,,491.163|493.573,0,0,0,0,0,0,0,0,0,0,,0,0,,
