MachineID,Model Revision,Lot Number,Sub Lot Number,Index,Lane,Panel Barcode,Date,Panel Result,ModuleID,Module Name,Grouping Module Barcode,Module Barcode,Module Result,Location Name,Component Code,Sub Code,Comp. Barcode,Comp.Result,Rep.Defect,SizeX,SizeY,OffsetX,OffsetY,M.OffsetX,M.OffsetY,T.OffsetX,T.OffsetY,Rotation,BodyLift,BodyLiftAngle,Height,Height(%),Area,Area(%),Volume,Volume(%),Coplanarity,TopGray,BridgeComponents,IPC,User Module 1,User Module 2,Lift ROI,Lift Min,Lift Max,B.OffsetX,B.OffsetY,B.Length,B.Width,M.Interference Left,M.Interference Right,M.Interference Top,M.Interference Bottom,C.Interference Location,C.Interference Distance,Gap Height(Die to Ball),Measure Pos,Feature Distance
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C250,0160-9275-0001,,,GOOD,,900.982,499.967,8.207,-2.404,-8.207,2.404,0,0,0.404,4.819,0.778,459.034,93.681,534500.000,118.656,0,0,0,0,,,,,461.444|456.625,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C251,453564106811-0001,,,GOOD,,1433.410,688.537,-8.003,39.245,8.003,-39.245,0,0,0.743,7.229,0.085,732.528,98.990,986956.000,100.000,0,0,0,169,,,,,728.914|736.143,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C252,0160-9275-0001,,,GOOD,,900.982,499.967,5.783,-11.483,-5.783,11.483,0,0,-1.029,8.032,0.424,462.247,94.336,499300.000,110.842,0,0,0,0,,,,,458.231|466.263,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C253,453564106811-0001,,,GOOD,,1433.410,688.537,-0.410,-15.135,0.410,15.135,0,0,2.446,2.410,0.634,726.103,98.122,986956.000,100.000,0,0,0,181,,,,,727.308|724.898,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C350,0160-9214-0001,,,GOOD,,940.213,449.468,-53.876,17.099,53.876,-17.099,0,0,0.774,1.606,0.193,446.183,89.237,530300.000,125.486,0,0,0,0,,,,,445.380|446.986,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C351,0160-9246-0001,,,GOOD,,863.955,457.620,-7.490,-8.811,7.490,8.811,0,0,-2.329,17.671,1.594,439.757,97.724,395363.000,100.000,0,0,0,0,,,,,430.922|448.593,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C352,0160-9214-0001,,,GOOD,,940.213,449.468,-32.447,15.930,32.447,-15.930,0,0,0.414,8.835,0.772,469.075,93.815,512600.000,121.298,0,0,0,0,,,,,473.492|464.657,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C353,0160-9246-0001,,,GOOD,,863.955,457.620,-16.690,-6.753,16.690,6.753,0,0,-1.123,0.803,0.580,447.388,99.420,395363.000,100.000,0,0,0,0,,,,,447.790|446.986,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C610,0160-9213-0001,,,GOOD,,915.056,457.528,-9.294,21.818,-9.294,21.818,0,0,-0.259,6.426,1.140,460.641,95.967,511500.000,122.174,0,0,0,0,,,,,457.428|463.854,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C611,0160-9300-0001,,,GOOD,,1866.960,1152.910,-14.805,24.654,24.654,14.805,0,0,-0.042,4.016,0.321,1233.730,103.675,2152440.000,100.000,0,0,0,135,,,,,1235.741|1231.725,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C612,0160-9213-0001,,,GOOD,,915.056,457.528,-3.666,-9.473,-9.473,3.666,0,0,-1.262,6.426,0.335,482.328,100.485,512800.000,122.485,0,0,0,0,,,,,479.115|485.541,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C745,0160-9275-0001,,,GOOD,,900.982,499.967,-3.504,-7.981,3.504,7.981,0,0,-1.555,0.803,1.555,465.059,94.910,521400.000,115.748,0,0,0,0,,,,,465.460|464.657,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C746,0160-9213-0001,,,GOOD,,915.056,457.528,-33.330,18.394,-18.394,-33.330,0,0,0.525,6.426,0.268,458.231,95.465,486000.000,116.084,0,0,0,0,,,,,455.018|461.444,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C747,0160-9213-0001,,,GOOD,,915.056,457.528,-43.045,-4.137,4.137,-43.045,0,0,0.856,4.819,0.201,467.870,97.473,481800.000,115.080,0,0,0,0,,,,,465.460|470.279,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C748,0160-9213-0001,,,GOOD,,915.056,457.528,-3.328,10.998,3.328,-10.998,0,0,0.041,23.293,1.006,443.372,92.369,482500.000,115.248,0,0,0,0,,,,,455.018|431.725,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C750,0160-9275-0001,,,GOOD,,900.982,499.967,-17.162,-9.930,9.930,-17.162,0,0,-0.766,12.851,0.353,479.918,97.943,533000.000,118.323,0,0,0,0,,,,,486.344|473.492,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C752,0160-9213-0001,,,GOOD,,915.056,457.528,-4.901,-0.038,-4.901,-0.038,0,0,-1.349,4.016,0.067,436.946,91.030,464800.000,111.020,0,0,0,0,,,,,438.954|434.938,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C770,0160-9214-0001,,,GOOD,,940.213,449.468,-75.463,-14.931,14.931,-75.463,0,0,0.367,0,0.772,479.918,95.984,538100.000,127.332,0,0,0,0,,,,,479.918|479.918,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,C771,0160-9214-0001,,,GOOD,,940.213,449.468,-49.958,-1.997,49.958,1.997,0,0,-0.164,7.229,1.286,450.601,90.120,517100.000,122.363,0,0,0,0,,,,,446.986|454.215,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,E745,9170-8226-0001,,,GOOD,,1906.910,1156.510,-36.987,20.417,-36.987,20.417,0,0,1.003,28.916,0.520,800.400,97.610,2517500.000,114.154,0,0,0,90,,,,,785.942|814.858,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,E770,9170-8226-0001,,,GOOD,,1906.910,1156.510,-40.179,33.355,33.355,40.179,0,0,0.814,18.474,0.312,775.902,94.622,2505000.000,113.587,0,0,0,92,,,,,785.139|766.665,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,R610,0699-6329-0001,,,GOOD,,1003.030,528.771,-42.710,19.403,-19.403,-42.710,0,0,1.592,5.622,0.910,319.677,103.122,700000.000,131.983,0,0,0,187,,,,,322.488|316.866,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,R750,453564228551-0001,,,GOOD,,958.585,482.385,-57.590,0.547,0.547,57.590,0,0,-0.836,0.803,1.219,320.480,100.150,602200.000,130.232,0,0,0,5,,,,,320.079|320.882,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,R751,453564228551-0001,,,GOOD,,958.585,482.385,-27.177,-39.305,27.177,39.305,0,0,1.001,27.309,2.052,293.573,91.742,553600.000,119.721,0,0,0,0,,,,,307.227|279.918,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,R754,0699-6329-0001,,,GOOD,,1003.030,528.771,-18.808,0.681,-0.681,-18.808,0,0,1.206,0.803,1.213,325.300,104.935,672300.000,126.760,0,0,0,189,,,,,324.898|325.701,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,1,Board1,,,GOOD,R756,453564089411-0001,,,GOOD,,1517.170,796.959,-59.355,-30.272,-30.272,59.355,0,0,-0.243,17.671,0.288,424.496,101.071,1353800.000,111.966,0,0,0,131,,,,,433.332|415.661,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,2,Board2,,,GOOD,C250,0160-9275-0001,,,GOOD,,900.982,499.967,9.451,-20.182,9.451,-20.182,0,0,-0.272,2.410,0.212,456.223,93.107,537300.000,119.278,0,0,0,0,,,,,457.428|455.018,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,2,Board2,,,GOOD,C251,453564106811-0001,,,GOOD,,1433.410,688.537,37.447,-26.875,37.447,-26.875,0,0,1.344,9.639,0.423,728.111,98.393,986956.000,100.000,0,0,0,182,,,,,723.292|732.930,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,2,Board2,,,GOOD,C252,0160-9275-0001,,,GOOD,,900.982,499.967,13.796,-26.853,13.796,-26.853,0,0,-0.965,15.261,1.343,462.649,94.418,529400.000,117.524,0,0,0,0,,,,,455.018|470.279,0,0,0,0,0,0,0,0,0,0,,0,0,,
L14_024SMT8PARMIAOI,,,,1,Front,4F-000AK,2023-10-03 12:20:23,NG,2,Board2,,,GOOD,C253,453564106811-0001,,,GOOD,,1433.410,688.537,31.567,-32.080,31.567,-32.080,0,0,1.117,2.410,0.169,730.119,98.665,986956.000,100.000,0,0,0,183,,,,,728.914|731.324,0,0,0,0,0,0,0,0,0,0,,0,0,,
